RowTree,Sample,d13C,totalN,totalC
R187/T05,R187-T05.raw,-28.97,1.5,50.8
R187/T06,R187-T06.raw,-28.41,1.3,50.3
R187/T07,R187-T07.raw,-28.68,1.2,50.7
R187/T08,R187-T08.raw,-28.31,1.0,48.6
R187/T09,R187-T09.raw,-30.77,1.0,48.1
R187/T10,R187-T10.raw,-28.99,1.1,49.2
R187/T24,R187-T24.raw,-28.85,1.1,51.3
R187/T25,R187-T25.raw,-28.34,1.0,50.4
R187/T26,R187-T26.raw,-28.03,1.2,51.2
R188/T01,R188-T01.raw,-26.62,1.2,50.4
R188/T02,R188-T02.raw,-27.75,0.8,48.7
R188/T03,R188-T03.raw,-28.98,1.0,48.0
R188/T05,R188-T05.raw,-25.60,0.9,52.0
R188/T06,R188-T06.raw,-26.79,0.8,51.9
R188/T08,R188-T08.raw,-28.55,0.7,52.5
R188/T13,R188-T13.raw,-29.35,0.8,54.1
R188/T14,R188-T14.raw,-27.93,0.8,50.8
R188/T15,R188-T15.raw,-28.86,0.8,51.8
R189/T01,R189-T01.raw,-27.89,1.3,50.8
R189/T03,R189-T03.raw,-27.81,1.8,48.9
R189/T04,R189-T04.raw,-27.92,0.9,50.5
R189/T23,R189-T23.raw,-29.95,1.1,50.6
R189/T24,R189-T24.raw,-29.20,1.1,49.8
R189/T26,R189-T26.raw,-28.02,1.3,49.9
R189/T28,R189-T28.raw,-29.66,1.2,49.9
R189/T29,R189-T29.raw,-29.79,1.4,50.6
R189/T31,R189-T31.raw,-28.68,0.7,51.5
R189/T33,R189-T33.raw,-28.64,0.6,51.6
R190/T17,R190-T17.raw,-28.31,1.5,51.5
R190/T18,R190-T18.raw,-27.81,1.9,49.9
R190/T20,R190-T20.raw,-29.24,1.3,52.0
R190/T22,R190-T22.raw,-30.38,1.5,50.3
R190/T23,R190-T23.raw,-29.79,0.9,49.0
R190/T26,R190-T26.raw,-30.82,1.4,49.6
R190/T27,R190-T27.raw,-28.75,1.2,49.6
R190/T28,R190-T28.raw,-30.86,1.4,50.9
R191/T09,R191-T09.raw,-28.30,1.8,50.4
R191/T11,R191-T11.raw,-29.76,1.5,50.5
R191/T12,R191-T12.raw,-28.01,2.1,52.9
R191/T29,R191-T29.raw,-29.52,1.1,50.3
R191/T30,R191-T30.raw,-29.51,0.9,51.0
R191/T31,R191-T31.raw,-28.98,0.9,50.9
R192/T05,R192-T05.raw,-28.05,0.9,49.7
R192/T07,R192-T07.raw,-29.42,1.0,48.8
R192/T08,R192-T08.raw,-29.13,1.0,51.2
R192/T21,R192-T21.raw,-25.91,1.6,48.7
R192/T22,R192-T22.raw,-26.87,1.9,50.7
R192/T24,R192-T24.raw,-25.72,1.3,48.4
R193/T09,R193-T09.raw,-28.65,1.6,51.6
R193/T29,R193-T29.raw,-28.08,0.7,52.6
R193/T30,R193-T30.raw,-26.66,1.1,51.4
R194/T13,R194-T13.raw,-29.45,1.1,50.6
R194/T14,R194-T14.raw,-27.16,1.3,48.9
R196/T02,R196-T02.raw,-28.59,1.3,50.2
R196/T03,R196-T03.raw,-29.57,1.2,49.3
R196/T10,R196-T10.raw,-29.06,1.2,49.3
R196/T11,R196-T11.raw,-28.73,1.3,48.9
R196/T12,R196-T12.raw,-28.78,1.4,51.3
R196/T18,R196-T18.raw,-27.82,1.1,50.7
R196/T19,R196-T19.raw,-28.34,0.9,51.6
R197/T20,R197-T20.raw,-28.34,1.0,50.2
R198/T09,R198-T09.raw,-25.66,1.9,51.8
R198/T10,R198-T10.raw,-26.16,1.8,49.9
R198/T12,R198-T12.raw,-28.18,1.6,49.6
