species,section,latitude,longitude
Eucalyptus fasciculosa,Adnataria,-36.28166667,139.7319444
Eucalyptus tricarpa,Adnataria,-38.45361111,144.11
Eucalyptus tricarpa,Adnataria,-38.45361111,144.11
Eucalyptus tricarpa,Adnataria,-38.45361111,144.11
Eucalyptus bosistoana,Adnataria,-37.87777778,147.8541667
Eucalyptus bosistoana,Adnataria,-37.87777778,147.8541667
Eucalyptus polyanthemos subsp. vestita (subsp. longior),Adnataria,-37.70138889,148.3283333
Eucalyptus polyanthemos subsp. vestita (subsp. longior),Adnataria,-37.70138889,148.3283333
Eucalyptus polyanthemos subsp. vestita (subsp. longior),Adnataria,-37.70138889,148.3283333
Eucalyptus baueriana,Adnataria,-37.87777778,147.8541667
Eucalyptus baueriana,Adnataria,-37.87777778,147.8541667
Eucalyptus baueriana,Adnataria,-37.87777778,147.8541667
Eucalyptus parramattensis subsp. parramattensis,Exsertaria,-34.21722222,150.5502778
Eucalyptus parramattensis subsp. parramattensis,Exsertaria,-34.21722222,150.5502778
Eucalyptus parramattensis subsp. parramattensis,Exsertaria,-34.21722222,150.5502778
Eucalyptus beyeriana,Adnataria,-34.3125,150.5875
Eucalyptus beyeriana,Adnataria,-34.3125,150.5875
Eucalyptus beyeriana,Adnataria,-34.3125,150.5875
Eucalyptus tereticornis subsp. mediana,Exsertaria,-37.84444444,147.8522222
Eucalyptus tereticornis subsp. mediana,Exsertaria,-37.84444444,147.8522222
Eucalyptus tereticornis subsp. mediana,Exsertaria,-37.84444444,147.8522222
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-36.82638889,139.9202778
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-36.82638889,139.9202778
Eucalyptus leucoxylon subsp. pruinosa,Adnataria,-36.82638889,139.9202778
Eucalyptus ochrophloia,Adnataria,-26.50416667,146.0819444
Eucalyptus ochrophloia,Adnataria,-26.50416667,146.0819444
Eucalyptus ochrophloia,Adnataria,-26.50416667,146.0819444
Eucalyptus aenea,Adnataria,-32.29277778,150.4111111
Eucalyptus aenea,Adnataria,-32.29277778,150.4111111
Eucalyptus aenea,Adnataria,-32.29277778,150.4111111
Eucalyptus rhombica,Adnataria,-28.12861111,151.5155556
Eucalyptus rhombica,Adnataria,-28.12861111,151.5155556
Eucalyptus rhombica,Adnataria,-28.12861111,151.5155556
Eucalyptus virens,Adnataria,-25.19972222,147.9361111
Eucalyptus virens,Adnataria,-25.19972222,147.9361111
Eucalyptus virens,Adnataria,-25.19972222,147.9361111
Eucalyptus major,Exsertaria,-27.51861111,152.1608333
Eucalyptus major,Exsertaria,-27.51861111,152.1608333
Eucalyptus taurina,Adnataria,-27.52666667,152.1561111
Eucalyptus taurina,Adnataria,-27.52666667,152.1561111
Eucalyptus taurina,Adnataria,-27.52666667,152.1561111
Eucalyptus melanoleuca,Adnataria,-26.78666667,151.9575
Eucalyptus melanoleuca,Adnataria,-26.78666667,151.9575
Eucalyptus melanoleuca,Adnataria,-26.78666667,151.9575
Eucalyptus ophitica,Adnataria,-29.29388889,152.6363889
