UniqueID,Yearplanted,RowTree,Collector,Population,Status,Current.name,FieldID,Status.1,Observations,TaxonoriginalDN,Section,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Victoria ,Anne,Sampled.ANU,Threatened NSW,Final
743,1994,R047/T21,D.Nicolle,"Ginghi, NSW",Alive,Eucalyptus dawsonii,CCA0689,OK,Tall,Eucalyptus dawsonii,Adnataria,Combination,0.4369,15.21667,695,0.5,0.577350269,4,0.25,0.5,4,Semiarid,X,x,,,x
743,1994,R047/T22,D.Nicolle,"Ginghi, NSW",Alive,Eucalyptus dawsonii,CCA0690,OK,Tall,Eucalyptus dawsonii,Adnataria,Combination,0.4369,15.21667,695,0.5,0.577350269,4,0.25,0.5,4,Semiarid,X,x,,,x
777,1994,R048/T13,D.Nicolle,"Rylstone, NSW",Alive,Eucalyptus melliodora,CCA0704,OK,,Eucalyptus melliodora,Adnataria,Combination,0.4644,14.475,734,0.5,0.577350269,4,0.5,0.577350269,4,Semiarid,X,x,x,,x
777,1994,R048/T14,D.Nicolle,"Rylstone, NSW",Alive,Eucalyptus melliodora,CCA0705,OK,,Eucalyptus melliodora,Adnataria,Combination,0.4644,14.475,734,0.5,0.577350269,4,0.5,0.577350269,4,Semiarid,X,x,x,,x
777,1994,R048/T15,D.Nicolle,"Rylstone, NSW",Alive,Eucalyptus melliodora,CCA0706,OK,,Eucalyptus melliodora,Adnataria,Combination,0.4644,14.475,734,0.5,0.577350269,4,0.5,0.577350269,4,Semiarid,X,x,x,,x
777,1994,R048/T16,D.Nicolle,"Rylstone, NSW",Alive,Eucalyptus melliodora,CCA0707,OK,,Eucalyptus melliodora,Adnataria,Combination,0.4644,14.475,734,0.5,0.577350269,4,0.5,0.577350269,4,Semiarid,X,x,,,x
746,1994,R048/T17,,"Bylong, NSW",,Eucalyptus caleyi subsp. caleyi,,,,Eucalyptus caleyi subsp. caleyi,Adnataria,Combination,0.3752,16.875,648,0,,,0,,,Semiarid,,x,x,,x
746,1994,R048/T18,,"Bylong, NSW",,Eucalyptus caleyi subsp. caleyi,,,,Eucalyptus caleyi subsp. caleyi,Adnataria,Combination,0.3752,16.875,648,0,,,0,,,Semiarid,,x,,,x
746,1994,R048/T19,,"Bylong, NSW",,Eucalyptus caleyi subsp. caleyi,,,,Eucalyptus caleyi subsp. caleyi,Adnataria,Combination,0.3752,16.875,648,0,,,0,,,Semiarid,,x,,,x
746,1994,R048/T20,,"Bylong, NSW",,Eucalyptus caleyi subsp. caleyi,,,,Eucalyptus caleyi subsp. caleyi,Adnataria,Combination,0.3752,16.875,648,0,,,0,,,Semiarid,,x,,,x
736,1994,R048/T21,D.Nicolle,"West Wyalong, NSW",Alive,Eucalyptus polybractea,CCA0712,Only genomics,,Eucalyptus polybractea,Adnataria,Lignotuber,0.266,16.42917,508,0,0,4,0,0,4,Semiarid,X,x,,,x
736,1994,R048/T22,D.Nicolle,"West Wyalong, NSW",Alive,Eucalyptus polybractea,CCA0713,OK,,Eucalyptus polybractea,Adnataria,Lignotuber,0.266,16.42917,508,0,0,4,0,0,4,Semiarid,X,x,,,x
648,1994,R061/T08,D.Nicolle,"Wollomombi, NSW",Alive,Eucalyptus volcanica,CCA0969,OK,,Eucalyptus volcanica,Maidenaria,Combination,0.5787,13.7375,862,0,0,4,1,0,4,DrySubhumid,X,,,,
648,1994,R061/T06,D.Nicolle,"Wollomombi, NSW",Alive,Eucalyptus volcanica,CCA0968,OK,,Eucalyptus volcanica,Maidenaria,Combination,0.5787,13.7375,862,0,0,4,1,0,4,DrySubhumid,X,,,,
649,1994,R057/T30,D.Nicolle,"Wollomombi, NSW",,Eucalyptus laevopinea,CCA0918,OK,,Eucalyptus laevopinea,Eucalyptus,Combination,0.5787,13.7375,862,0,0,4,0.5,0.707106781,4,DrySubhumid,,,,,
649,1994,R57/T32,D.Nicolle,"Wollomombi, NSW",,Eucalyptus laevopinea,,OK,,Eucalyptus laevopinea,Eucalyptus,Combination,0.5787,13.7375,862,0,0,4,0.5,0.707106781,4,DrySubhumid,,,,,
