Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Eucalyptus cyclostoma,D.Nicolle,125,"Newman Rock, WA",32,9,34,123,14,24,12,9,Alive,None evident,,None evident,Flowered,1993,R012/T09,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,116,"Balladonia, WA",32,17,1,123,28,56,13,1,Alive,None evident,,None evident,Flowered,1993,R013/T01,,,
Eucalyptus protensa,D.Nicolle,126,"Newman Rock, WA",32,5,51,123,6,51,13,10,Alive,None evident,,None evident,,1993,R013/T10,,,
Eucalyptus protensa,D.Nicolle,126,"Newman Rock, WA",32,5,51,123,6,51,13,11,Dead,,,,,1993,R013/T11,,,
Eucalyptus indurata,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,12,Dead,,,,,1993,R013/T12,,,
Eucalyptus indurata,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,13,Dead,,,,,1993,R013/T13,,,
Eucalyptus indurata,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,14,Alive,None evident,,None evident,Flowered,1993,R013/T14,,,
Eucalyptus indurata,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,15,Alive,None evident,,None evident,Flowered,1993,R013/T15,,,
Eucalyptus ravida,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,13,16,Dead,,,,,1993,R013/T16,,,
Eucalyptus ravida,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,13,17,Dead,,,,,1993,R013/T17,,,
Eucalyptus ravida,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,13,18,Alive,None evident,,None evident,Flowered,1993,R013/T18,,,
Eucalyptus ravida,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,13,19,Dead,,,,,1993,R013/T19,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,116,"Balladonia, WA",32,17,1,123,28,56,13,2,Alive,None evident,,None evident,Flowered,1993,R013/T02,,,
Eucalyptus angustissima,D.Nicolle,150,"Lort River 1, WA",33,2,46,121,10,20,13,20,Alive,None evident,,None evident,Flowered,1993,R013/T20,,,
Eucalyptus angustissima,D.Nicolle,150,"Lort River 1, WA",33,2,46,121,10,20,13,21,Alive,Slight,,None evident,Flowered,1993,R013/T21,,,
Eucalyptus angustissima,D.Nicolle,150,"Lort River 1, WA",33,2,46,121,10,20,13,22,Alive,Slight,,None evident,Flowered,1993,R013/T22,,,
Eucalyptus angustissima,D.Nicolle,150,"Lort River 1, WA",33,2,46,121,10,20,13,23,Alive,None evident,,None evident,Flowered,1993,R013/T23,,,
Eucalyptus terebra,D.Nicolle,117,"Balladonia, WA",32,16,29,123,27,56,13,24,Dead,,,,,1993,R013/T24,,,
Eucalyptus terebra,D.Nicolle,117,"Balladonia, WA",32,16,29,123,27,56,13,25,Dead,,,,,1993,R013/T25,,,
Eucalyptus terebra,D.Nicolle,117,"Balladonia, WA",32,16,29,123,27,56,13,26,Alive,None evident,,None evident,Flowered,1993,R013/T26,,,
Eucalyptus terebra,D.Nicolle,117,"Balladonia, WA",32,16,29,123,27,56,13,27,Dead,,,,,1993,R013/T27,,,
Eucalyptus kessellii subsp. eugnosta,D.Nicolle,164,"Scaddan, WA",33,31,6,121,36,49,13,28,Alive,None evident,,None evident,Flowered,1993,R013/T28,,,
Eucalyptus kessellii subsp. eugnosta,D.Nicolle,164,"Scaddan, WA",33,31,6,121,36,49,13,29,Alive,None evident,,None evident,Flowered,1993,R013/T29,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,116,"Balladonia, WA",32,17,1,123,28,56,13,3,Dead,,,,,1993,R013/T03,,,
Eucalyptus kessellii subsp. eugnosta,D.Nicolle,164,"Scaddan, WA",33,31,6,121,36,49,13,30,Alive,None evident,,None evident,Flowered,1993,R013/T30,,,
Eucalyptus kessellii subsp. eugnosta,D.Nicolle,164,"Scaddan, WA",33,31,6,121,36,49,13,31,Alive,None evident,,None evident,Flowered,1993,R013/T31,,,
Eucalyptus tumida,D.Nicolle,159,"Scaddan, WA",33,24,32,121,53,39,13,32,Alive,None evident,,None evident,Flowered,1993,R013/T32,,,
Eucalyptus tumida,D.Nicolle,159,"Scaddan, WA",33,24,32,121,53,39,13,33,Alive,None evident,,None evident,Flowered,1993,R013/T33,,,
Eucalyptus tumida,D.Nicolle,159,"Scaddan, WA",33,24,32,121,53,39,13,34,Alive,None evident,,None evident,Flowered,1993,R013/T34,,,
Eucalyptus tumida,D.Nicolle,159,"Scaddan, WA",33,24,32,121,53,39,13,35,Alive,None evident,,None evident,Flowered,1993,R013/T35,,,
Eucalyptus bicostata,D.Nicolle,468,"Otway Ranges, Vic",38,25,,143,56,,13,36,Dead,,,,,1994,R013/T36,,,
Eucalyptus bicostata,D.Nicolle,468,"Otway Ranges, Vic",38,25,,143,56,,13,37,Dead,,,,,1994,R013/T37,,,
Eucalyptus bicostata,D.Nicolle,468,"Otway Ranges, Vic",38,25,,143,56,,13,38,Alive,Slight,,None evident,Flowered,1994,R013/T38,,,
Eucalyptus bicostata,D.Nicolle,468,"Otway Ranges, Vic",38,25,,143,56,,13,39,Dead,,,,,1994,R013/T39,,,
Eucalyptus fraseri subsp. fraseri,D.Nicolle,116,"Balladonia, WA",32,17,1,123,28,56,13,4,Alive,None evident,,None evident,Flowered,1993,R013/T04,,,
Eucalyptus deanei,D.Nicolle,633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,40,Dead,,,,,1994,R013/T40,,,
Eucalyptus deanei,D.Nicolle,633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,41,Alive,Slight,,None evident,Flowered,1994,R013/T41,,,
Eucalyptus deanei,D.Nicolle,633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,42,Dead,,,,,1994,R013/T42,,,
Eucalyptus deanei,D.Nicolle,633,"Perrys Crossing, NSW",33,12,0,150,59,43,13,43,Dead,,,,,1994,R013/T43,,,
Eucalyptus tortilis,D.Nicolle,130,"Norseman, WA",32,3,50,122,12,21,13,5,Dead,,,,,1993,R013/T05,,,
Eucalyptus tortilis,D.Nicolle,130,"Norseman, WA",32,3,50,122,12,21,13,6,Alive,Dead (non-drought),2 - 3 years,,,1993,R013/T06,,,
Eucalyptus tortilis,D.Nicolle,130,"Norseman, WA",32,3,50,122,12,21,13,7,Alive,None evident,,None evident,Flowered,1993,R013/T07,,,
Eucalyptus tortilis,D.Nicolle,130,"Norseman, WA",32,3,50,122,12,21,13,8,Dead,,,,,1993,R013/T08,,,
Eucalyptus protensa,D.Nicolle,126,"Newman Rock, WA",32,5,51,123,6,51,13,9,Dead,,,,,1993,R013/T09,,,
Eucalyptus preissiana subsp. lobata,D.Nicolle,179,"Quaggi Beach, WA",33,49,19,121,17,49,131,24,Alive,Slight,,None evident,Flowered,1997,R131/T24,,,
Eucalyptus preissiana subsp. lobata,D.Nicolle,179,"Quaggi Beach, WA",33,49,19,121,17,49,131,25,Alive,Slight,,None evident,Flowered,1997,R131/T25,,,
Eucalyptus preissiana subsp. lobata,D.Nicolle,179,"Quaggi Beach, WA",33,49,19,121,17,49,131,26,Alive,Slight,,None evident,Flowered,1997,R131/T26,,,
Eucalyptus preissiana subsp. lobata,D.Nicolle,179,"Quaggi Beach, WA",33,49,19,121,17,49,131,27,Alive,Slight,,None evident,Flowered,1997,R131/T27,,,
Corymbia citriodora,D.Nicolle,702,"Springsure, Qld",24,13,30,148,14,0,131,28,Alive,None evident,,None evident,,1997,R131/T28,,,
Corymbia citriodora,D.Nicolle,702,"Springsure, Qld",24,13,30,148,14,0,131,29,Alive,None evident,,None evident,,1997,R131/T29,,,
Corymbia citriodora,D.Nicolle,702,"Springsure, Qld",24,13,30,148,14,0,131,30,Alive,None evident,,None evident,,1997,R131/T30,,,
Corymbia citriodora,D.Nicolle,702,"Springsure, Qld",24,13,30,148,14,0,131,31,Alive,None evident,,None evident,Flowered,1997,R131/T31,,,
